339B8762FCA53D3AEBA5,:, Bersedia Menerima, 9001, PLN, 200, Tidak Ada, Swasta, SMP, Yayasan
4AA77A846CB19DDC7EA7,B, Bersedia Menerima, Proses Sertifikasi, PLN & Diesel, 5000, Tidak Ada, Negeri, SMK, Pemerintah Daerah
F0A2A9E00C4597444213,:, -, -, -, , , Swasta, SPK SD, Yayasan
7597B103F4677E18145B,:, Bersedia Menerima, 9001, PLN & Diesel, 400, Telkom Speedy, Swasta, SPK SD, Yayasan
E96C66F38CEC17C3C6FB,:, -, -, -, , , Swasta, SPK SMP, Yayasan
EDF7F6121A11D6DAB78F,A, Bersedia Menerima, 9001, Lainnya, 10000, Telkom Speedy, Swasta, SPK SMP, Yayasan
3BE861F02ED2B68033A4,C, Bersedia Menerima, Belum Bersertifikat, PLN, 1298, Tidak Ada, Negeri, SD, Pemerintah Daerah
2A4F0472F57C53A366E8,B, Bersedia Menerima, Belum Bersertifikat, PLN, 1800, Tidak Ada, Negeri, SD, Pemerintah Daerah
5FDB73EDAC00256CBD3F,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Daerah
8548798BCD8F1C14296C,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Telkomsel Flash, Negeri, SD, Pemerintah Pusat
FB6D5FF648F4B8C14594,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Telkomsel Flash, Negeri, SD, Pemerintah Pusat
E8893E80217502118A97,C, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Daerah
F4E004C6E39805DE5340,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Pusat
3BE6C6155D0A4EDC8040,C, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Daerah
9ABE135BE238365ADFC2,i, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Lainnya (Wavelan), Negeri, SD, Pemerintah Daerah
212782B4F528F76B3B5F,C, Bersedia Menerima, Proses Sertifikasi, PLN, 3500, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
51F6A9C088C481279084,:, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Telkomsel Flash, Swasta, SD, Yayasan
CD349E40AEB9D9CE1AB1,:, Bersedia Menerima, Belum Bersertifikat, PLN, 3500, Telkomsel Flash, Swasta, SD, Yayasan
